,DCODE,EV_COUNT,MPS_COUNT,BLDG_COUNT,MA_HH,EDU_PERCENT,T_POP,T_WP
78,K7,0.0,0.0,1.0,206.4,0.28292354328056585,2.969,1.583
79,L7,0.0,0.0,12.0,445.0,0.45553840801351464,3.034,1.697
80,M7,3.0,359.0,343.0,335.35238095238094,0.2946885045267399,148.421,73.485
81,N7,5.0,374.0,737.0,265.04137931034484,0.26100496943391654,186.407,91.878
82,O7,1.0,106.0,424.0,298.6681818181818,0.273365513433118,92.265,47.048
83,P7,0.0,0.0,4.0,245.47,0.21159820617585717,23.063,11.441
84,Q7,0.0,0.0,21.0,189.45,0.15912369509401383,12.257,5.466
85,R7,0.0,0.0,70.0,132.5,0.1321231500259167,5.623,2.269
86,B8,0.0,0.0,0.0,281.0,0.2871729419272495,1.567,0.871
87,C8,0.0,0.0,26.0,281.0,0.2871729419272495,1.567,0.871
88,D8,0.0,0.0,19.0,281.0,0.2871729419272495,1.567,0.871
89,E8,0.0,0.0,21.0,281.0,0.2871729419272495,1.567,0.871
90,F8,0.0,0.0,10.0,224.76666666666668,0.2963336410736883,7.447,3.545
91,G8,1.0,14.0,171.0,220.575,0.2925063043443339,8.97,4.403
92,H8,0.0,0.0,30.0,389.8,0.42003433137847657,5.918,3.321
93,I8,0.0,0.0,11.0,459.8666666666666,0.47342239995068064,13.574,7.398
94,J8,0.0,0.0,6.0,404.0,0.43061141562567967,9.179,4.935
95,L8,1.0,0.0,251.0,410.9777777777778,0.37503019977048924,16.121,7.944
96,M8,0.0,86.0,228.0,353.76666666666665,0.35569685794365213,14.373,6.894
97,N8,0.0,0.0,1.0,186.86666666666667,0.2112735094712507,6.007,2.394
98,O8,0.0,0.0,6.0,252.7,0.25775541339041697,23.359,11.561
99,P8,0.0,125.0,516.0,262.84117647058827,0.24824082961904087,45.898,22.473
100,Q8,1.0,25.0,480.0,237.14,0.258375568542416,189.843,95.092
101,R8,2.0,8.0,299.0,220.5111111111111,0.2283143135424022,185.317,86.533
102,S8,0.0,0.0,6.0,120.0,0.16988621328393755,3.779,1.392
103,C9,0.0,0.0,81.0,199.28,0.190189905398938,16.395,8.117
104,D9,0.0,0.0,77.0,220.66666666666669,0.20410062203537185,13.791,6.693
105,E9,0.0,0.0,7.0,281.0,0.2871729419272495,1.567,0.871
106,F9,0.0,0.0,6.0,242.15,0.295684979461717,4.45,1.928
107,G9,0.0,0.0,15.0,389.8,0.42003433137847657,5.918,3.321
108,H9,0.0,0.0,303.0,449.8666666666666,0.4590743813433791,14.275,7.645
109,I9,0.0,0.0,305.0,580.5333333333333,0.5587991289896519,20.408,10.864
110,J9,0.0,0.0,10.0,404.0,0.43061141562567967,9.179,4.935
111,K9,0.0,0.0,0.0,600.0,0.5801985370950888,7.656,4.077
112,L9,0.0,10.0,82.0,423.45,0.3726768851332904,7.701,3.3
113,M9,0.0,0.0,17.0,324.7,0.27616829179764535,5.451,2.234
114,N9,0.0,0.0,6.0,204.55,0.19632242410886214,4.009,1.534
115,O9,0.0,0.0,68.0,234.15714285714287,0.2094688928041528,19.086,9.065
116,P9,1.0,162.0,576.0,280.965,0.2716338068767358,61.062,31.956
117,Q9,2.0,218.0,730.0,215.2037037037037,0.2399407755783844,109.181,53.398
118,R9,0.0,56.0,80.0,229.76666666666668,0.2631762656372179,52.782,24.559
119,S9,0.0,0.0,5.0,233.8,0.23075229243142806,9.572,4.215
120,C10,0.0,0.0,52.0,214.76666666666668,0.24625143716233555,13.673,6.696
121,D10,0.0,0.0,135.0,196.1,0.19385045966127123,14.326,6.782
122,E10,0.0,0.0,0.0,203.3,0.3041970169961845,2.883,1.057
123,F10,0.0,0.0,116.0,203.3,0.3041970169961845,2.883,1.057
124,G10,0.0,0.0,0.0,203.3,0.3041970169961845,2.883,1.057
125,H10,0.0,0.0,554.0,151.26666666666665,0.26555640384705465,5.48,2.703
126,I10,0.0,0.0,227.0,600.0,0.5801985370950888,7.656,4.077
127,J10,0.0,0.0,38.0,600.0,0.5801985370950888,7.656,4.077
